Province/State,Country/Region,Lat,Long,Time,Daily Confirmed,Daily Death,Daily Recovered,Cum Confirmed,Cum Death,Cum Recovered,PCum Confirmed,PCum Death,PCum Recovered,dPCum Confirmed,dPCum Death,dPCum Recovered,Mortality,perchange Confirmed,perchange Death,perchange Recovered,Lat Long
,South Africa,-30.5595,22.9375,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"-30.5595,22.9375"
,Bhutan,27.5142,90.4336,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"27.5142,90.4336"
,Cameroon,3.8480000000000003,11.5021,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"3.8480000000000003,11.5021"
,Colombia,4.5709,-74.2973,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"4.5709,-74.2973"
,Costa Rica,9.7489,-83.7534,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"9.7489,-83.7534"
,Peru,-9.19,-75.0152,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"-9.19,-75.0152"
,Serbia,44.0165,21.0059,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"44.0165,21.0059"
,Slovakia,48.669,19.699,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"48.669,19.699"
,Togo,8.6195,0.8248,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"8.6195,0.8248"
,Malta,35.9375,14.3754,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"35.9375,14.3754"
,Martinique,14.6415,-61.0242,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"14.6415,-61.0242"
,Bulgaria,42.7339,25.4858,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"42.7339,25.4858"
,Maldives,3.2028,73.2207,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"3.2028,73.2207"
,Bangladesh,23.685,90.3563,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"23.685,90.3563"
,Paraguay,-23.4425,-58.4438,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"-23.4425,-58.4438"
Ontario,Canada,51.2538,-85.3232,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"51.2538,-85.3232"
Alberta,Canada,53.9333,-116.5765,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"53.9333,-116.5765"
Quebec,Canada,52.9399,-73.5491,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"52.9399,-73.5491"
,Albania,41.1533,20.1683,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"41.1533,20.1683"
,Cyprus,35.1264,33.4299,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"35.1264,33.4299"
,Brunei,4.5353,114.7277,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"4.5353,114.7277"
Washington,US,47.4009,-121.4905,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"47.4009,-121.4905"
New York,US,42.1657,-74.9481,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"42.1657,-74.9481"
California,US,36.1162,-119.6816,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"36.1162,-119.6816"
Massachusetts,US,42.2302,-71.5301,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"42.2302,-71.5301"
Diamond Princess,US,35.4437,139.638,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"35.4437,139.638"
Grand Princess,US,37.6489,-122.6655,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"37.6489,-122.6655"
Georgia,US,33.0406,-83.6431,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"33.0406,-83.6431"
Colorado,US,39.0598,-105.3111,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"39.0598,-105.3111"
Florida,US,27.7663,-81.6868,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"27.7663,-81.6868"
New Jersey,US,40.2989,-74.521,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"40.2989,-74.521"
Oregon,US,44.571999999999996,-122.0709,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"44.571999999999996,-122.0709"
Texas,US,31.0545,-97.5635,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"31.0545,-97.5635"
Illinois,US,40.3495,-88.9861,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"40.3495,-88.9861"
Pennsylvania,US,40.5908,-77.2098,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"40.5908,-77.2098"
Iowa,US,42.0115,-93.2105,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"42.0115,-93.2105"
Maryland,US,39.0639,-76.8021,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"39.0639,-76.8021"
North Carolina,US,35.6301,-79.8064,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"35.6301,-79.8064"
South Carolina,US,33.8569,-80.945,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"33.8569,-80.945"
Tennessee,US,35.7478,-86.6923,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"35.7478,-86.6923"
Virginia,US,37.7693,-78.17,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"37.7693,-78.17"
Arizona,US,33.7298,-111.4312,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"33.7298,-111.4312"
Indiana,US,39.8494,-86.2583,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"39.8494,-86.2583"
Kentucky,US,37.6681,-84.6701,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"37.6681,-84.6701"
District of Columbia,US,38.8974,-77.0268,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"38.8974,-77.0268"
Nevada,US,38.3135,-117.0554,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"38.3135,-117.0554"
New Hampshire,US,43.4525,-71.5639,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"43.4525,-71.5639"
Minnesota,US,45.6945,-93.9002,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"45.6945,-93.9002"
Nebraska,US,41.1254,-98.2681,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"41.1254,-98.2681"
Ohio,US,40.3888,-82.7649,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"40.3888,-82.7649"
Rhode Island,US,41.6809,-71.5118,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"41.6809,-71.5118"
Wisconsin,US,44.2685,-89.6165,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"44.2685,-89.6165"
Connecticut,US,41.5978,-72.7554,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"41.5978,-72.7554"
Hawaii,US,21.0943,-157.4983,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"21.0943,-157.4983"
Oklahoma,US,35.5653,-96.9289,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"35.5653,-96.9289"
Utah,US,40.15,-111.8624,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"40.15,-111.8624"
,Burkina Faso,12.2383,-1.5616,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"12.2383,-1.5616"
,Holy See,41.9029,12.4534,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"41.9029,12.4534"
,Mongolia,46.8625,103.8467,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"46.8625,103.8467"
,Panama,8.538,-80.7821,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"8.538,-80.7821"
Kansas,US,38.5266,-96.7265,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"38.5266,-96.7265"
Louisiana,US,31.1695,-91.8678,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"31.1695,-91.8678"
Missouri,US,38.4561,-92.2884,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"38.4561,-92.2884"
Vermont,US,44.0459,-72.7107,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"44.0459,-72.7107"
Alaska,US,61.3707,-152.4044,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"61.3707,-152.4044"
Arkansas,US,34.9697,-92.3731,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"34.9697,-92.3731"
Delaware,US,39.3185,-75.5071,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"39.3185,-75.5071"
Idaho,US,44.2405,-114.4788,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"44.2405,-114.4788"
Maine,US,44.6939,-69.3819,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"44.6939,-69.3819"
Michigan,US,43.3266,-84.5361,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"43.3266,-84.5361"
Mississippi,US,32.7416,-89.6787,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"32.7416,-89.6787"
Montana,US,46.9219,-110.4544,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"46.9219,-110.4544"
New Mexico,US,34.8405,-106.2485,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"34.8405,-106.2485"
North Dakota,US,47.5289,-99.78399999999999,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"47.5289,-99.78399999999999"
South Dakota,US,44.2998,-99.4388,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"44.2998,-99.4388"
West Virginia,US,38.4912,-80.9545,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"38.4912,-80.9545"
Wyoming,US,42.756,-107.3025,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"42.756,-107.3025"
Hubei,China,30.9756,112.2707,2020-01-22,444,17,28,444,17,28,0,0,0,0,0,0,3.828828828828829,0.0,0.0,0.0,"30.9756,112.2707"
